voice_name,character,candidate_id,dataset,repo,speaker_id,source_file,source_url,license,license_status,transcript,duration,sample_rate,channels,bit_depth,sha256,cleanliness,transcript_accuracy,speaker_isolation,duration_score,natural_speech,no_clipping,license_clarity,character_fit,distinctness,rpg_character_presence,dramatic_dialogue_suitability,vocal_distinctiveness,acting_performance_quality,human_status,notes
AUDITION_dragan_candidate_01,Dragan,candidate_01,mythicinfinity/libritts_r,mythicinfinity/libritts_r,2428,/root/.cache/huggingface/datasets/downloads/extracted/5551a515e85b9e463062524539c2e1cb52ba32affe128dffd866db0205248bdd/LibriTTS_R/dev-clean/2428/83699/2428_83699_000008_000006.wav,https://datasets-server.huggingface.co/cached-assets/mythicinfinity/libritts_r/--/0d1718db351207d5a493135a62d5ed8cc4733830/--/clean/dev.clean/2875/audio/audio.wav?Expires=1790045717&Signature=tdFu7s11UtXMeF7jdJ-MuuqRUnroJRoCHY5bolv7F~~MyhqcUKsGRvTzgaQYuE3YSoJqvV9HKpSKkQeFwAxkYab7tRD9QHEvnJXWC8yMgoZf59O-RUmsNq1CnLXAE6FWxHEeV1Am8OhM0mv~MfWkNF-EdAOFPNwD65dTfe1wtHf-nQ2dNbbsxm8CEqOS7rRkr1QMym2mxIMccnJOc2OKgASjZhdgYVz6rwLZX1ZMRYG-90cHZheP-n~AY1ASFleZ5jwKIQRP-bbhDTbrKmgxdwamwU7hiwwFoYIQG-MTvC3i-8XNNTC~YJxfSkPe4AJ~A4GNWZddzoK4gd5U2WMxeA__&Key-Pair-Id=K3C0L9WB6U5DUC,cc-by-4.0,LICENSE_OK,"There was nothing said about the sort of accommodation which would be provided, nothing about the kind of establishment which was maintained, or the table which was kept.",8.680,24000,1,16,970fee317751447bc67f77c45cc41417da16441d1d8d84152247ef280cee44ae,5,5,4,5,3,5,5,4,2,2,3,3,2,PENDING_HUMAN_REVIEW,RPG/character scores are metadata heuristics; Human Listening is authoritative. | distinctness_check=HUMAN_REQUIRED
AUDITION_dragan_candidate_02,Dragan,candidate_02,mythicinfinity/libritts_r,mythicinfinity/libritts_r,2428,/root/.cache/huggingface/datasets/downloads/extracted/5551a515e85b9e463062524539c2e1cb52ba32affe128dffd866db0205248bdd/LibriTTS_R/dev-clean/2428/83699/2428_83699_000008_000007.wav,https://datasets-server.huggingface.co/cached-assets/mythicinfinity/libritts_r/--/0d1718db351207d5a493135a62d5ed8cc4733830/--/clean/dev.clean/2876/audio/audio.wav?Expires=1790045717&Signature=s2ai~8lle6iMvgq2jmyFGxy65coz07koMxlkPY3UhTY2loZ2y1YPrq454N109LYmmMxnb6x3-PSV~QRx~fs7P9gA799pWyXL~0ARtfr~StfBn091OY5TQtUGZHO1qbxg9fSqUjlA9cWfvvnMtZUBcm4nNSGTO9fc1puM811Jbm2GOkii15wJjlGHhW0Z8Xemm9YjziDTQsAvQ2mZCy6NDUUqy7K~Of0u4BaBE6rUOXnMp~tKxw8ktpdmKukBs1lmMwaDUC5M0NsBhWuhhkpw58Zt3fiTugaESu20aB4pd~Q6jMROAwL1X6y1Q2MsCECueeqDPkUswgMOtFcov09twg__&Key-Pair-Id=K3C0L9WB6U5DUC,cc-by-4.0,LICENSE_OK,No references were offered or asked for.,2.040,24000,1,16,0a38134cc3f049acd2a52204061863a5a2dffa57c71da237faeac5e2ccc4e927,5,5,4,1,3,5,5,4,2,2,3,3,2,REJECT_AUTO,RPG/character scores are metadata heuristics; Human Listening is authoritative. | distinctness_check=HUMAN_REQUIRED | DURATION_OUT_OF_RANGE
AUDITION_dragan_candidate_03,Dragan,candidate_03,mythicinfinity/libritts_r,mythicinfinity/libritts_r,2428,/root/.cache/huggingface/datasets/downloads/extracted/5551a515e85b9e463062524539c2e1cb52ba32affe128dffd866db0205248bdd/LibriTTS_R/dev-clean/2428/83699/2428_83699_000009_000004.wav,https://datasets-server.huggingface.co/cached-assets/mythicinfinity/libritts_r/--/0d1718db351207d5a493135a62d5ed8cc4733830/--/clean/dev.clean/2877/audio/audio.wav?Expires=1790045717&Signature=hXvWh92qS-SeTEAvrBtS4EUT-KSRnzAtAgp78CgI1wOHydMbHl-rwwZ48AGkn6uD~j3jexH1MLGbQDoIkgL01oA8ZLz5OzO97mCcS~qwHo7UvoQu-BMaf1rgjpKipfqgZInBmK~M1RY-i~JjUTXnu-gZw5ssb8FOWiwy4ubUY5st91kFHf7iLfTkV54bmUHXliI4w-B4JXQSGaaYzyjntbSq7iTCSJyDtCReKkqm59YbykNmCAtgKGpMAdLyMg00lfGILqeVp512eo9rx0Spt2Gv8vanAcLbMAmfL7NgGg8eH13-9eVyiQ6YLQD7XEsd1CifedlCobtWbaPgcWZYGQ__&Key-Pair-Id=K3C0L9WB6U5DUC,cc-by-4.0,LICENSE_OK,"She was apparently the careworn mother of a ""lively family."" Under such circumstances she was hardly likely to be ""lively"" herself, but her name was Madge, and it was the accident of her Christian name which decided me to go.",13.520,24000,1,16,4095c72648f03c4879c35af553a14fd6c8c6f355b51de60fac0617c25104d8e4,5,5,4,5,3,5,5,4,2,2,3,3,2,PENDING_HUMAN_REVIEW,RPG/character scores are metadata heuristics; Human Listening is authoritative. | distinctness_check=HUMAN_REQUIRED
AUDITION_dragan_candidate_04,Dragan,candidate_04,mythicinfinity/libritts_r,mythicinfinity/libritts_r,2428,/root/.cache/huggingface/datasets/downloads/extracted/5551a515e85b9e463062524539c2e1cb52ba32affe128dffd866db0205248bdd/LibriTTS_R/dev-clean/2428/83699/2428_83699_000010_000001.wav,https://datasets-server.huggingface.co/cached-assets/mythicinfinity/libritts_r/--/0d1718db351207d5a493135a62d5ed8cc4733830/--/clean/dev.clean/2878/audio/audio.wav?Expires=1790045717&Signature=SKzeQBQb9EV0esNwfeIpzWtYKTEsyEmktZPZu1jImJomq9vTKelUhlWO57fLmdLO7qXs2RO3Y6d9Z~qe6TEcnmme871SEQaoDQ9SngXrCBiUxDMFf2FFjT7KuMYvXmDw5034wwSlZC4FULFArcKqsJTl3~XD1aOwj6pleyaEEB0hxDFA-PdApWKi6BacvR7zWN~XMeW905HgQ5fwKGtx83MBaCyZL6L4iFUnHiQLn3B~TpGU18Q-wBsEYfDRZcJGoQDJGAq5jX7XIH-8NES0-ZvuWaAS~B6gDYUNPGlM~uAj~jYAH88SXTOnak2ua-F5f~hMCVWoeHG7AzExIEbLYA__&Key-Pair-Id=K3C0L9WB6U5DUC,cc-by-4.0,LICENSE_OK,"No doubt the five guineas were badly wanted; even a ""lively family"" would be hardly likely to advertise for a perfect stranger to spend Christmas with them if they were not.",8.160,24000,1,16,0e594a9bf2ef3ce9ee4fe52963d5db412ba8cb73d965b05b2614d0e5e7d93b7b,5,5,4,5,3,5,5,4,2,2,3,3,2,PENDING_HUMAN_REVIEW,RPG/character scores are metadata heuristics; Human Listening is authoritative. | distinctness_check=HUMAN_REQUIRED
AUDITION_dragan_candidate_05,Dragan,candidate_05,mythicinfinity/libritts_r,mythicinfinity/libritts_r,2428,/root/.cache/huggingface/datasets/downloads/extracted/5551a515e85b9e463062524539c2e1cb52ba32affe128dffd866db0205248bdd/LibriTTS_R/dev-clean/2428/83699/2428_83699_000010_000003.wav,https://datasets-server.huggingface.co/cached-assets/mythicinfinity/libritts_r/--/0d1718db351207d5a493135a62d5ed8cc4733830/--/clean/dev.clean/2879/audio/audio.wav?Expires=1790045717&Signature=u54ELwI3WZfNA54B8D8PhtYCH-Rz73fqhBs4LVih5zH42b~w6lAFbyfpAJXHyrkxzALKD~MMNPdGo0sTkhC5qK3vnSloiKbgiiOXHjftfA7cBcD96t9NjPHtSYp2mptmtfK4xUuaNAuDyvwPw7R36G28wep7bpxEi0qpf8UHDZXRQeIvuyFmVE5SaYCPAYggiaUAUm5bWCuROubuByxntkUWasjZG0m~H31OurhZjKaIMsRlg~4E~Zbisbs-h4JQmYgIpKKlU3weE3jCfd9MYTFnrIcdrA8aKBPRmQincN83C4wzf7hu-IRhNavJxwbZD6Yf~8dkr9X6M8laWvd3ZA__&Key-Pair-Id=K3C0L9WB6U5DUC,cc-by-4.0,LICENSE_OK,"Still I felt that it could hardly be worse than a chop or cousin Lucy; the subjects of her conversation I never cared about when they were alive, and I certainly do not want to talk about them now they are dead.",11.520,24000,1,16,73e05a4f8c4e5b515122eea99275a9e2a1872f65752338b46d7e041e117df96d,5,5,4,5,3,5,5,4,2,2,3,3,2,PENDING_HUMAN_REVIEW,RPG/character scores are metadata heuristics; Human Listening is authoritative. | distinctness_check=HUMAN_REQUIRED
AUDITION_dragan_candidate_06,Dragan,candidate_06,mythicinfinity/libritts_r,mythicinfinity/libritts_r,6313,/root/.cache/huggingface/datasets/downloads/extracted/5551a515e85b9e463062524539c2e1cb52ba32affe128dffd866db0205248bdd/LibriTTS_R/dev-clean/6313/66125/6313_66125_000019_000005.wav,https://datasets-server.huggingface.co/cached-assets/mythicinfinity/libritts_r/--/0d1718db351207d5a493135a62d5ed8cc4733830/--/clean/dev.clean/1400/audio/audio.wav?Expires=1790045716&Signature=rBto7yhaKLXl2XLj2le1cdk4uZ-TQiyr22A~65zdumYWnIWqKPXcL~c0E2WCf~nTs3cW5tqYmwQh6I6bEK~311TYeygzB51k4T-~ru0aFEx15mZOXGjaVa7F2EoqU5TWUhnsdE-izOWw5ydM5jdtWcy-WoT4CWE5MhQKS9va~eeh8en8WS2TkSmFgqXsspXThG97qvi2RzKPcUdrzAYFstGmoMkiu8JYiixuj~N53xbJFHihJ5oZTyAkZpK8MNSZ-1UGEzMQ0GMionzOuYrXXkxdAbtXSba0p5zrn5nmmIFHwGYLXuTsQmzre-EhDMczIVmgC3TIxStt3sXKXi4lpw__&Key-Pair-Id=K3C0L9WB6U5DUC,cc-by-4.0,LICENSE_OK,Stick tight and don't get scared.,1.480,24000,1,16,dca18a4e7ce415069aa570fe59bab7a2415c8cb09cd477e94cff8479b99a2cc0,5,5,4,1,4,5,5,3,2,3,3,3,3,REJECT_AUTO,RPG/character scores are metadata heuristics; Human Listening is authoritative. | distinctness_check=HUMAN_REQUIRED | DURATION_OUT_OF_RANGE
AUDITION_dragan_candidate_07,Dragan,candidate_07,mythicinfinity/libritts_r,mythicinfinity/libritts_r,6313,/root/.cache/huggingface/datasets/downloads/extracted/5551a515e85b9e463062524539c2e1cb52ba32affe128dffd866db0205248bdd/LibriTTS_R/dev-clean/6313/66125/6313_66125_000019_000006.wav,https://datasets-server.huggingface.co/cached-assets/mythicinfinity/libritts_r/--/0d1718db351207d5a493135a62d5ed8cc4733830/--/clean/dev.clean/1401/audio/audio.wav?Expires=1790045716&Signature=LZPXZEa9fYh31Co8TeQdPZWPZ1eaNenO0TUWEHn0VUbNLwYd6KCWh0Fj5UdJtlRRKR7BijWhWF5NfedfkJCXw2YLpd9VvLWerMN58Nc0j6a3ODNDxhffN-c1fNCZWt63EqoQWienhrDYzt~QHaD8gNcgNquXdaaBGWqDNKA0aFzM7q1C~kxEaSoVdp2jfagyjIyFIJ2Anll1RTBuM2KC4y4h-51zc7FrS1MclQcO4xQ~LyQ1mbJaWhdsGAvHGlT4XcD2AYCgCk~~RIR0J38kp6hAWp9WzMTyOXKO9eru6TGnJYBmvm-fBVUIjNWuxh0gVTWqkEAm~zycrYKY0m0Jtg__&Key-Pair-Id=K3C0L9WB6U5DUC,cc-by-4.0,LICENSE_OK,"We'll have you out of that in no time.""",1.840,24000,1,16,98f23154c0db6c91c2fd6976daa4e25039d2921cc65e95ab14f7a22120b65a34,5,5,4,1,4,5,5,3,2,3,3,3,3,REJECT_AUTO,RPG/character scores are metadata heuristics; Human Listening is authoritative. | distinctness_check=HUMAN_REQUIRED | DURATION_OUT_OF_RANGE
AUDITION_dragan_candidate_08,Dragan,candidate_08,mythicinfinity/libritts_r,mythicinfinity/libritts_r,6313,/root/.cache/huggingface/datasets/downloads/extracted/5551a515e85b9e463062524539c2e1cb52ba32affe128dffd866db0205248bdd/LibriTTS_R/dev-clean/6313/66125/6313_66125_000020_000000.wav,https://datasets-server.huggingface.co/cached-assets/mythicinfinity/libritts_r/--/0d1718db351207d5a493135a62d5ed8cc4733830/--/clean/dev.clean/1402/audio/audio.wav?Expires=1790045716&Signature=ac-FWXggU~yZKv13maRiDmxW39tCoVx6xntrcSJFiwd4T5lsCc-0hiyapGyiQ33CaaODnlQFieOxoO7hS7FqDhz4PQHTCbiKo1YwvYpWC6Y-PVoVfB8uamEQe4T7fD4gkuQ~eH2BuAfyX~cikztDvYg7wotUo2CBcivRLGdcD71oR-h4Z9lJzAZnSc7r3LO-tongfrZkIBlv0STQYildyreuu1iHX6aLZZgutir5fZpe3CwusjtCQmNDc-IHXAzW4Hk-ddpXo2Jh17ska08-iRsH1soWzBf8BbFgYCekCYOQ-qnsZ1nQVaeIk2zReWKhvmMHP4bxL1YJzFza~1FiDg__&Key-Pair-Id=K3C0L9WB6U5DUC,cc-by-4.0,LICENSE_OK,"""Don't move around.",0.840,24000,1,16,890519109fb58419e5e8b8f2814bc78a0bfde89bac4e845872fdb700c1a9c839,5,5,4,1,4,5,5,3,2,3,3,3,3,REJECT_AUTO,RPG/character scores are metadata heuristics; Human Listening is authoritative. | distinctness_check=HUMAN_REQUIRED | DURATION_OUT_OF_RANGE
AUDITION_dragan_candidate_09,Dragan,candidate_09,mythicinfinity/libritts_r,mythicinfinity/libritts_r,6313,/root/.cache/huggingface/datasets/downloads/extracted/5551a515e85b9e463062524539c2e1cb52ba32affe128dffd866db0205248bdd/LibriTTS_R/dev-clean/6313/66125/6313_66125_000020_000001.wav,https://datasets-server.huggingface.co/cached-assets/mythicinfinity/libritts_r/--/0d1718db351207d5a493135a62d5ed8cc4733830/--/clean/dev.clean/1403/audio/audio.wav?Expires=1790045716&Signature=Lf5xMkA4cEDkTbgEjIhiFjPDZ1FVT-m-8op2BThM5pauqPlJ6z6WoMaj5T2FCa4RZChavjJzVWjcrs0KefqWLxKSdiDSn6nuNuyi4KSTC-V73h7533UrjAd9bEp~BJdJvG~Lps3Xp0~Tn6vZZH0wbEz~OJYnJzOQd8p8T80wjaoFhQrQQw1HL32o1NUL6B3KIdqZJCfXCS~euz-9l3ug2KoIuGn9UsyGs2cyBtteTsldsqt9xRj3ZRIoC2H5NEb-M64EKAJ4xLn25t5Ce6GMZht~qOPoGTmxNUhor8fZ4Ms-EyZQgilvl0tXtj3cbFfO2Hb3d2cF6BHHbjL7QEPq2w__&Key-Pair-Id=K3C0L9WB6U5DUC,cc-by-4.0,LICENSE_OK,"Lie perfectly still,"" warned the guide.",2.080,24000,1,16,1a813fe90e01783d98d6a77200decd754adaa54f26e9579f993ba31b6b7447da,5,5,4,1,4,5,5,3,2,3,3,3,3,REJECT_AUTO,RPG/character scores are metadata heuristics; Human Listening is authoritative. | distinctness_check=HUMAN_REQUIRED | DURATION_OUT_OF_RANGE
AUDITION_dragan_candidate_10,Dragan,candidate_10,mythicinfinity/libritts_r,mythicinfinity/libritts_r,6313,/root/.cache/huggingface/datasets/downloads/extracted/5551a515e85b9e463062524539c2e1cb52ba32affe128dffd866db0205248bdd/LibriTTS_R/dev-clean/6313/66125/6313_66125_000020_000002.wav,https://datasets-server.huggingface.co/cached-assets/mythicinfinity/libritts_r/--/0d1718db351207d5a493135a62d5ed8cc4733830/--/clean/dev.clean/1404/audio/audio.wav?Expires=1790045716&Signature=Qc4EDpGJffpNi8nFVvCJNFC9-HlxL0RFeQE7kQvbMe516qk4ivv5O8gpz6rPgunRXglaqADMXzvXN8fcTKNzoESdLRk6sg43egke2sHrB7~uHpETsyrBVenHUYyzFsH06htxCv~Q5hZsif7IYc9Gw7XPdo9Ci64uHvpzVrV7UcAOIS8mH5weV1~DNlVnSoE3~zNFcahOqoLWwtPExrxhSJTXAFfrva3Ors1tRWv3D-Q~5lX~Fu-Hkijpg53sSzyZrh50j-3chWbQXvKk3nKpwrHzoJXffmp4Z6f58hK-uzsIE8NRs3NF8KaOfWWntisWBcD-m7EW3GZIiFVtjNUQgw__&Key-Pair-Id=K3C0L9WB6U5DUC,cc-by-4.0,LICENSE_OK,"""Are you hurt?""",0.800,24000,1,16,2f64c7201697fa95d60270e44781dbe7e811233f5e587ab01c5f407f60c20943,5,5,4,1,4,5,5,3,2,3,3,3,3,REJECT_AUTO,RPG/character scores are metadata heuristics; Human Listening is authoritative. | distinctness_check=HUMAN_REQUIRED | DURATION_OUT_OF_RANGE
